month,H1a,H1b,H1c,H2a,H2b,H2c,H2d,H3
1,744,744,741,744,744,744,738,744
2,672,672,672,672,672,670,672,664
3,738,737,730,727,737,699,699,715
4,695,664,640,698,677,652,560,586
5,438,558,499,636,597,15,133,
6,,24,71,179,180,,,
7,,,,,,,,
8,,,,,,,,
9,402,47,,269,,228,,
10,644,568,396,693,556,542,270,120
11,715,720,717,720,716,693,683,690
12,744,744,744,744,744,744,744,739
