month,H1a,H1b,H1c,H2a,H2b,H2c,H2d,H3
1,2.6,4.7,3.8,5.8,6.1,5.1,4.9,5.9
2,3.5,5.2,3.9,4.4,4.2,6.6,5.1,9.4
3,7.7,7.3,8.5,8.6,8.7,9.7,9.3,10.2
4,10.3,10.3,11.6,10.2,10.7,11.8,13.4,13.8
5,13.2,14.4,16.6,13.8,14.5,13.8,12.5,
6,,13.6,14.7,15.4,15.9,,,
7,,,,,,,,
8,,,,,,,,
9,13.6,14.5,,14,,15.2,,
10,13.8,12.3,12,12.6,12.3,15.7,13.5,10.9
11,8.8,6.6,7.6,9.4,8.1,9.1,8.9,10
12,5,3.8,3.2,6.2,5.6,5,5,7.6
